seq,ra,dec,mag,z_best,z_spec,z_phot,z_spec_quality,zphot_l68,zphot_u68,zphot_l95,zphot_u95,snr,m,m_std
821.0,53.169429799999996,-27.922471999999996,24.01,2.599,-99.0,2.5989999999999998,-99.0,2.54,2.65,2.49,2.71,23.92,4180000000.0,833000000.0
822.0,53.1476746,-27.9221325,24.66,2.629,-99.0,2.6289999999999996,-99.0,2.54,2.72,2.42,2.81,20.67,4080000000.0,659000000.0
824.0,53.1128197,-27.921970399999996,24.74,1.288,-99.0,1.288,-99.0,1.19,1.38,1.1,1.48,20.31,584000000.0,116000000.0
825.0,53.1608543,-27.9220524,24.18,1.329,-99.0,1.329,-99.0,1.26,1.4,1.2,1.48,23.07,328000000.0,217000000.0
826.0,53.1329193,-27.9217968,25.76,1.9,-99.0,1.9,-99.0,1.72,2.07,1.48,2.59,6.79,407000000.0,72900000.0
827.0,53.1262093,-27.9219189,24.58,0.959,-99.0,0.9590000000000001,-99.0,0.87,1.05,0.75,1.14,14.04,538000000.0,66600000.0
828.0,53.17290500000001,-27.9218273,25.07,1.903,-99.0,1.903,-99.0,1.8,2.0,1.68,2.1,17.29,1280000000.0,275000000.0
829.0,53.15165329999999,-27.9217262,25.47,0.337,-99.0,0.337,-99.0,0.25,0.42,0.19,0.5,11.73,29200000.0,6780000.0
830.0,53.177120200000005,-27.9220943,24.01,1.383,-99.0,1.383,-99.0,1.3,1.46,1.22,1.54,34.65,3600000000.0,946000000.0
831.0,53.1123505,-27.9216309,25.45,0.279,-99.0,0.27899999999999997,-99.0,0.18,2.24,0.03,2.51,8.47,4990000.0,2570000.0
832.0,53.15236659999999,-27.921846399999996,24.62,0.576,-99.0,0.5760000000000001,-99.0,0.52,0.65,0.45,0.75,29.15,163000000.0,15800000.0
833.0,53.13006970000001,-27.921596500000003,25.87,0.561,-99.0,0.561,-99.0,0.43,0.7,0.25,0.91,8.88,68000000.0,13600000.0
834.0,53.0909767,-27.922288899999998,22.03,1.367,1.2,1.367,2.0,1.32,1.42,1.26,1.46,115.12,58800000000.0,15300000000.0
